,0
2024-01-01,1004350.0441568205
2024-01-02,1003898.1451108875
2024-01-03,1009410.8542425295
2024-01-04,1021633.0649642491
2024-01-05,1020432.8555044031
2024-01-08,1019234.1826872419
2024-01-09,1032008.2089103807
2024-01-10,1038609.4487527243
2024-01-11,1035541.7550914526
2024-01-12,1040405.2872441771
2024-01-15,1037379.9235202718
2024-01-16,1034345.2263164491
2024-01-17,1036852.790425495
2024-01-18,1022473.9221655848
2024-01-19,1009750.3434905254
2024-01-22,1006059.4473898762
2024-01-23,998955.6158383916
2024-01-24,1001923.2379050411
2024-01-25,995642.402823729
2024-01-26,985605.556388895
2024-01-29,997112.0098234788
2024-01-30,996003.7494254361
2024-01-31,997105.0340990244
2024-02-01,986959.644078592
2024-02-02,983485.6364416264
2024-02-05,984895.693294666
2024-02-06,976912.6650575661
2024-02-07,980268.6024980888
2024-02-08,976401.2824668972
2024-02-09,974829.511330937
2024-02-12,970975.7798651488
2024-02-13,985149.2541665244
2024-02-14,985635.1383165097
2024-02-15,978341.1376920507
2024-02-16,985006.6670248058
2024-02-19,976502.6391113177
2024-02-20,978625.6520025914
2024-02-21,964711.0870307909
2024-02-22,955599.482745577
2024-02-23,957590.3492378743
2024-02-26,963505.8834712311
2024-02-27,965327.5460223232
2024-02-28,965058.2382225232
2024-02-29,963436.0796495181
2024-03-01,953241.6372316455
2024-03-04,948621.9683636716
2024-03-05,945883.426027716
2024-03-06,954005.0942091327
2024-03-07,957050.9922659041
2024-03-08,944865.7302476369
2024-03-11,947742.9244698338
2024-03-12,945548.226390955
2024-03-13,941272.63578624
2024-03-14,946185.2094148133
2024-03-15,954122.626486486
2024-03-18,961407.404342624
2024-03-19,955880.6095879866
2024-03-20,954215.2860913819
2024-03-21,957172.7373040416
2024-03-22,964801.084413322
2024-03-25,961880.6521095298
2024-03-26,961103.2487679732
2024-03-27,953637.525392266
2024-03-28,945581.9260351271
2024-03-29,951952.648079638
2024-04-01,962278.9059264511
2024-04-02,962327.878938686
2024-04-03,970200.9082635253
2024-04-04,973430.6580801558
2024-04-05,969263.0034299181
2024-04-08,972487.8694692892
