,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-01-01,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0,0.0
2024-01-09,437.0,0.0,0.0,0.0,0.0
2024-01-10,437.0,0.0,0.0,0.0,0.0
2024-01-11,437.0,0.0,0.0,0.0,0.0
2024-01-12,437.0,0.0,0.0,0.0,0.0
2024-01-15,437.0,142.0,0.0,0.0,0.0
2024-01-16,437.0,142.0,0.0,0.0,0.0
2024-01-17,437.0,142.0,0.0,0.0,0.0
2024-01-18,437.0,142.0,0.0,0.0,0.0
2024-01-19,437.0,142.0,0.0,0.0,0.0
2024-01-22,437.0,142.0,0.0,0.0,0.0
2024-01-23,437.0,142.0,0.0,0.0,0.0
2024-01-24,437.0,142.0,0.0,0.0,0.0
2024-01-25,437.0,142.0,0.0,0.0,0.0
2024-01-26,437.0,142.0,0.0,0.0,0.0
2024-01-29,437.0,142.0,0.0,0.0,0.0
2024-01-30,437.0,142.0,0.0,0.0,0.0
2024-01-31,437.0,142.0,0.0,0.0,0.0
2024-02-01,437.0,142.0,0.0,0.0,0.0
2024-02-02,437.0,142.0,0.0,0.0,0.0
2024-02-05,437.0,142.0,0.0,0.0,0.0
2024-02-06,437.0,142.0,0.0,646.0,0.0
2024-02-07,437.0,142.0,0.0,646.0,0.0
2024-02-08,437.0,142.0,0.0,646.0,0.0
2024-02-09,437.0,0.0,0.0,646.0,0.0
2024-02-12,437.0,0.0,0.0,646.0,0.0
2024-02-13,437.0,0.0,0.0,646.0,0.0
2024-02-14,437.0,0.0,0.0,646.0,0.0
2024-02-15,437.0,0.0,537.0,646.0,0.0
2024-02-16,437.0,0.0,537.0,646.0,0.0
2024-02-19,437.0,0.0,537.0,646.0,0.0
2024-02-20,437.0,0.0,537.0,671.0,0.0
2024-02-21,437.0,0.0,537.0,671.0,0.0
2024-02-22,437.0,0.0,537.0,671.0,0.0
2024-02-23,437.0,0.0,537.0,671.0,0.0
2024-02-26,437.0,0.0,537.0,671.0,0.0
2024-02-27,437.0,0.0,537.0,671.0,0.0
2024-02-28,437.0,0.0,537.0,671.0,0.0
2024-02-29,437.0,0.0,537.0,671.0,0.0
2024-03-01,437.0,0.0,537.0,671.0,0.0
2024-03-04,437.0,0.0,537.0,671.0,0.0
2024-03-05,437.0,0.0,537.0,671.0,0.0
2024-03-06,437.0,0.0,537.0,671.0,0.0
2024-03-07,437.0,0.0,537.0,671.0,0.0
2024-03-08,437.0,0.0,537.0,671.0,0.0
2024-03-11,437.0,0.0,537.0,671.0,0.0
2024-03-12,437.0,0.0,537.0,671.0,0.0
2024-03-13,437.0,0.0,537.0,671.0,0.0
2024-03-14,437.0,0.0,537.0,671.0,0.0
2024-03-15,0.0,0.0,537.0,671.0,0.0
2024-03-18,0.0,0.0,537.0,671.0,0.0
2024-03-19,0.0,0.0,537.0,671.0,0.0
2024-03-20,0.0,0.0,537.0,671.0,0.0
2024-03-21,0.0,0.0,537.0,671.0,0.0
2024-03-22,0.0,0.0,537.0,671.0,0.0
2024-03-25,0.0,0.0,537.0,671.0,0.0
2024-03-26,0.0,0.0,537.0,671.0,0.0
2024-03-27,0.0,0.0,537.0,671.0,0.0
2024-03-28,0.0,0.0,537.0,671.0,0.0
2024-03-29,0.0,0.0,537.0,671.0,0.0
2024-04-01,0.0,0.0,537.0,671.0,0.0
2024-04-02,0.0,0.0,537.0,671.0,0.0
2024-04-03,0.0,0.0,537.0,646.0,0.0
2024-04-04,0.0,496.0,537.0,646.0,0.0
2024-04-05,0.0,496.0,537.0,646.0,0.0
2024-04-08,0.0,496.0,537.0,236.0,0.0
2024-04-09,0.0,496.0,537.0,236.0,0.0
2024-04-10,0.0,496.0,537.0,236.0,0.0
2024-04-11,0.0,496.0,537.0,236.0,0.0
2024-04-12,0.0,496.0,537.0,236.0,0.0
2024-04-15,0.0,496.0,537.0,236.0,0.0
2024-04-16,0.0,496.0,0.0,236.0,0.0
2024-04-17,0.0,496.0,0.0,0.0,0.0
2024-04-18,0.0,496.0,0.0,0.0,0.0
2024-04-19,0.0,496.0,0.0,0.0,703.0
2024-04-22,0.0,496.0,0.0,0.0,703.0
2024-04-23,0.0,496.0,0.0,0.0,703.0
2024-04-24,0.0,496.0,0.0,0.0,703.0
2024-04-25,0.0,496.0,0.0,0.0,703.0
2024-04-26,0.0,496.0,0.0,0.0,703.0
2024-04-29,0.0,496.0,0.0,0.0,703.0
2024-04-30,0.0,496.0,0.0,0.0,703.0
2024-05-01,0.0,496.0,0.0,0.0,703.0
2024-05-02,0.0,496.0,0.0,0.0,703.0
2024-05-03,0.0,496.0,0.0,0.0,703.0
2024-05-06,0.0,496.0,0.0,0.0,703.0
2024-05-07,0.0,496.0,0.0,0.0,703.0
2024-05-08,0.0,496.0,0.0,0.0,703.0
2024-05-09,0.0,496.0,0.0,0.0,703.0
2024-05-10,0.0,496.0,0.0,0.0,703.0
2024-05-13,0.0,496.0,0.0,0.0,703.0
2024-05-14,0.0,496.0,0.0,0.0,703.0
2024-05-15,0.0,496.0,0.0,0.0,703.0
2024-05-16,0.0,496.0,0.0,0.0,703.0
2024-05-17,0.0,496.0,0.0,0.0,703.0
2024-05-20,0.0,496.0,0.0,0.0,703.0
2024-05-21,0.0,496.0,0.0,0.0,703.0
2024-05-22,0.0,496.0,0.0,0.0,703.0
2024-05-23,0.0,496.0,253.0,0.0,703.0
2024-05-24,0.0,496.0,253.0,0.0,703.0
2024-05-27,0.0,496.0,253.0,0.0,703.0
2024-05-28,0.0,0.0,253.0,0.0,703.0
2024-05-29,0.0,0.0,253.0,0.0,703.0
2024-05-30,0.0,0.0,253.0,0.0,703.0
2024-05-31,0.0,0.0,253.0,0.0,703.0
2024-06-03,0.0,0.0,253.0,0.0,703.0
2024-06-04,740.0,0.0,253.0,0.0,703.0
2024-06-05,740.0,0.0,253.0,0.0,703.0
2024-06-06,740.0,0.0,253.0,0.0,703.0
2024-06-07,740.0,0.0,253.0,0.0,703.0
2024-06-10,514.0,0.0,253.0,0.0,195.0
2024-06-11,514.0,0.0,253.0,0.0,195.0
2024-06-12,514.0,0.0,253.0,0.0,195.0
2024-06-13,514.0,0.0,253.0,0.0,195.0
2024-06-14,514.0,0.0,253.0,0.0,195.0
2024-06-17,514.0,0.0,253.0,0.0,195.0
2024-06-18,514.0,0.0,253.0,0.0,195.0
2024-06-19,514.0,0.0,253.0,0.0,195.0
2024-06-20,514.0,0.0,253.0,0.0,195.0
2024-06-21,514.0,367.0,253.0,0.0,195.0
2024-06-24,514.0,367.0,253.0,0.0,195.0
2024-06-25,514.0,367.0,253.0,0.0,195.0
2024-06-26,514.0,367.0,253.0,0.0,195.0
2024-06-27,514.0,367.0,253.0,0.0,195.0
2024-06-28,514.0,367.0,253.0,0.0,195.0
2024-07-01,514.0,367.0,253.0,0.0,195.0
2024-07-02,514.0,367.0,253.0,0.0,195.0
2024-07-03,514.0,367.0,253.0,0.0,195.0
2024-07-04,514.0,367.0,253.0,0.0,195.0
2024-07-05,514.0,367.0,253.0,0.0,195.0
2024-07-08,514.0,367.0,253.0,0.0,195.0
2024-07-09,514.0,367.0,253.0,0.0,195.0
2024-07-10,514.0,367.0,253.0,0.0,195.0
2024-07-11,514.0,367.0,253.0,0.0,195.0
2024-07-12,514.0,367.0,253.0,0.0,195.0
2024-07-15,514.0,367.0,253.0,0.0,195.0
2024-07-16,514.0,367.0,253.0,0.0,195.0
2024-07-17,514.0,367.0,253.0,0.0,195.0
2024-07-18,514.0,367.0,253.0,0.0,195.0
2024-07-19,514.0,367.0,253.0,0.0,195.0
2024-07-22,514.0,367.0,253.0,0.0,195.0
2024-07-23,514.0,367.0,253.0,0.0,195.0
2024-07-24,740.0,367.0,253.0,0.0,195.0
2024-07-25,740.0,367.0,253.0,0.0,195.0
2024-07-26,740.0,367.0,253.0,0.0,195.0
2024-07-29,740.0,367.0,253.0,0.0,195.0
2024-07-30,740.0,367.0,0.0,0.0,195.0
2024-07-31,740.0,367.0,0.0,0.0,195.0
2024-08-01,740.0,367.0,0.0,0.0,195.0
2024-08-02,740.0,367.0,0.0,0.0,195.0
2024-08-05,740.0,367.0,0.0,0.0,195.0
2024-08-06,740.0,367.0,0.0,0.0,195.0
2024-08-07,740.0,367.0,0.0,0.0,195.0
2024-08-08,740.0,367.0,0.0,0.0,195.0
2024-08-09,740.0,367.0,0.0,0.0,0.0
2024-08-12,0.0,367.0,0.0,0.0,219.0
2024-08-13,0.0,267.0,0.0,0.0,219.0
2024-08-14,0.0,267.0,0.0,0.0,219.0
2024-08-15,0.0,267.0,0.0,0.0,219.0
2024-08-16,0.0,267.0,0.0,0.0,219.0
2024-08-19,739.0,267.0,0.0,0.0,219.0
2024-08-20,739.0,267.0,0.0,0.0,219.0
2024-08-21,739.0,267.0,0.0,0.0,219.0
2024-08-22,739.0,267.0,0.0,0.0,219.0
2024-08-23,739.0,267.0,0.0,0.0,219.0
2024-08-26,739.0,267.0,0.0,0.0,219.0
2024-08-27,739.0,267.0,0.0,0.0,219.0
2024-08-28,572.0,267.0,0.0,0.0,219.0
2024-08-29,572.0,267.0,0.0,0.0,219.0
2024-08-30,572.0,267.0,0.0,0.0,219.0
2024-09-02,572.0,267.0,833.0,0.0,219.0
2024-09-03,572.0,267.0,833.0,0.0,219.0
2024-09-04,572.0,267.0,833.0,0.0,219.0
2024-09-05,572.0,267.0,833.0,0.0,219.0
2024-09-06,572.0,267.0,833.0,0.0,219.0
2024-09-09,572.0,267.0,833.0,0.0,219.0
2024-09-10,572.0,267.0,833.0,0.0,219.0
2024-09-11,572.0,267.0,833.0,0.0,219.0
2024-09-12,572.0,267.0,833.0,0.0,219.0
2024-09-13,572.0,267.0,833.0,0.0,219.0
2024-09-16,572.0,267.0,833.0,0.0,219.0
2024-09-17,572.0,267.0,833.0,0.0,219.0
2024-09-18,572.0,267.0,833.0,0.0,219.0
2024-09-19,572.0,267.0,833.0,0.0,219.0
2024-09-20,572.0,267.0,990.0,0.0,219.0
2024-09-23,572.0,267.0,0.0,0.0,219.0
2024-09-24,572.0,267.0,0.0,0.0,219.0
2024-09-25,739.0,267.0,0.0,0.0,219.0
2024-09-26,739.0,267.0,0.0,0.0,219.0
2024-09-27,739.0,267.0,0.0,687.0,219.0
2024-09-30,739.0,267.0,0.0,687.0,219.0
2024-10-01,739.0,267.0,0.0,687.0,219.0
2024-10-02,739.0,267.0,153.0,687.0,219.0
2024-10-03,739.0,267.0,153.0,687.0,219.0
2024-10-04,739.0,267.0,153.0,687.0,219.0
2024-10-07,739.0,267.0,153.0,687.0,219.0
2024-10-08,739.0,267.0,153.0,687.0,0.0
2024-10-09,739.0,267.0,153.0,687.0,0.0
2024-10-10,739.0,0.0,153.0,687.0,0.0
2024-10-11,739.0,0.0,153.0,687.0,0.0
2024-10-14,739.0,0.0,153.0,687.0,0.0
2024-10-15,739.0,0.0,153.0,687.0,0.0
2024-10-16,0.0,0.0,153.0,687.0,0.0
2024-10-17,0.0,0.0,153.0,687.0,0.0
2024-10-18,0.0,0.0,153.0,687.0,0.0
2024-10-21,0.0,0.0,153.0,687.0,0.0
2024-10-22,0.0,0.0,153.0,687.0,0.0
2024-10-23,0.0,0.0,153.0,687.0,0.0
2024-10-24,0.0,0.0,153.0,687.0,0.0
2024-10-25,0.0,0.0,153.0,687.0,0.0
2024-10-28,0.0,0.0,153.0,687.0,0.0
2024-10-29,0.0,0.0,153.0,687.0,0.0
2024-10-30,0.0,0.0,153.0,687.0,0.0
2024-10-31,0.0,0.0,0.0,687.0,0.0
2024-11-01,0.0,0.0,0.0,687.0,0.0
2024-11-04,0.0,0.0,0.0,687.0,0.0
2024-11-05,0.0,0.0,0.0,687.0,0.0
2024-11-06,0.0,0.0,0.0,687.0,0.0
2024-11-07,0.0,0.0,0.0,687.0,0.0
2024-11-08,0.0,0.0,0.0,687.0,0.0
2024-11-11,0.0,0.0,0.0,687.0,0.0
2024-11-12,0.0,0.0,0.0,687.0,0.0
2024-11-13,0.0,0.0,0.0,687.0,0.0
2024-11-14,0.0,0.0,0.0,687.0,0.0
2024-11-15,0.0,0.0,0.0,687.0,0.0
2024-11-18,0.0,0.0,0.0,687.0,0.0
2024-11-19,0.0,0.0,0.0,395.0,0.0
2024-11-20,0.0,0.0,0.0,395.0,0.0
2024-11-21,0.0,0.0,0.0,395.0,0.0
2024-11-22,0.0,0.0,0.0,395.0,0.0
2024-11-25,0.0,0.0,0.0,395.0,0.0
2024-11-26,0.0,0.0,0.0,395.0,0.0
2024-11-27,0.0,0.0,0.0,395.0,0.0
2024-11-28,0.0,0.0,0.0,395.0,0.0
2024-11-29,0.0,0.0,0.0,395.0,0.0
2024-12-02,0.0,0.0,0.0,395.0,0.0
2024-12-03,0.0,0.0,0.0,0.0,0.0
2024-12-04,0.0,0.0,0.0,0.0,0.0
2024-12-05,0.0,0.0,0.0,0.0,0.0
2024-12-06,0.0,0.0,0.0,0.0,0.0
2024-12-09,0.0,0.0,0.0,0.0,0.0
2024-12-10,0.0,0.0,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.0
2024-12-13,0.0,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.0
2024-12-17,0.0,0.0,0.0,0.0,0.0
