Date,Ticker,Shares,Price,Commission
2024-01-02,AMZN,-50,95.36582307187538,2.3841455767968847
2024-01-05,MSFT,-50,84.91846710452518,2.1229616776131293
2024-01-05,MSFT,50,73.80254895910255,1.8450637239775638
2024-01-29,MSFT,50,93.84570230401664,2.346142557600416
2024-01-29,AAPL,-50,94.84564337907547,2.3711410844768865
2024-02-08,AMZN,200,97.87838578288374,9.787838578288374
2024-02-09,GOOGL,-50,96.72374816721998,2.4180937041804995
2024-02-22,MSFT,50,91.77510631219937,2.294377657804984
2024-02-27,AMZN,200,108.21902504375224,10.821902504375224
2024-03-06,TSLA,50,110.9964697578482,2.7749117439462054
2024-03-26,TSLA,-100,96.57285483473231,4.828642741736616
2024-03-29,AAPL,-100,96.14917719583684,4.807458859791842
2024-04-25,AMZN,100,99.86502775262066,4.993251387631033
2024-04-29,AMZN,-50,95.73131205960277,2.393282801490069
2024-04-30,TSLA,-100,103.44902335044729,5.172451167522365
2024-05-01,AAPL,100,106.36305108345171,5.318152554172586
2024-05-03,TSLA,-50,111.19423611561837,2.7798559028904593
2024-05-22,GOOGL,-100,102.6105527217989,5.130527636089945
2024-05-22,AMZN,200,105.43743160481299,10.543743160481299
2024-05-27,AMZN,200,80.40329876120225,8.040329876120225
2024-05-29,AMZN,100,90.44653555282295,4.5223267776411475
2024-05-29,AMZN,-100,101.2221916522268,5.06110958261134
2024-06-05,TSLA,-100,99.35621949199033,4.967810974599517
2024-06-10,MSFT,50,113.84015718932679,2.8460039297331696
2024-06-17,GOOGL,-100,102.96120277064576,5.148060138532288
2024-06-27,GOOGL,-50,75.01240858361288,1.875310214590322
2024-07-02,AAPL,100,79.73280384269907,3.9866401921349537
2024-07-30,GOOGL,200,110.10515284806526,11.010515284806527
2024-08-01,AAPL,100,94.6185833833704,4.730929169168521
2024-08-14,AAPL,50,90.9327933142007,2.2733198328550177
2024-08-15,MSFT,100,102.08863595004756,5.104431797502378
2024-08-23,TSLA,-100,98.9474286599882,4.94737143299941
2024-08-27,GOOGL,50,89.62170123484518,2.2405425308711293
2024-08-30,GOOGL,-100,89.422890710441,4.47114453552205
2024-09-05,AAPL,100,117.94280843008586,5.897140421504293
2024-09-06,AAPL,-100,91.53982983544294,4.576991491772147
2024-09-12,GOOGL,-100,91.98172156650307,4.599086078325154
2024-09-18,AMZN,200,103.24083969394795,10.324083969394795
2024-09-20,TSLA,200,107.73700416833682,10.773700416833682
2024-09-20,AAPL,-100,91.38401945751671,4.569200972875836
2024-09-23,MSFT,-50,78.2166575317629,1.9554164382940726
2024-10-02,AMZN,50,114.80328561172163,2.870082140293041
2024-10-10,MSFT,200,95.34270246429743,9.534270246429744
2024-10-14,GOOGL,-100,99.24196254971815,4.962098127485908
2024-10-15,GOOGL,-100,91.9772273077838,4.598861365389191
2024-10-25,GOOGL,50,102.79041292200138,2.5697603230500343
2024-11-01,AMZN,50,106.03441225038131,2.6508603062595326
2024-11-13,AMZN,-100,89.56103591765165,4.478051795882582
2024-11-14,TSLA,50,105.80689541730027,2.645172385432507
2024-11-25,AAPL,-100,75.60894184943976,3.780447092471988
